O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
29-2081.00,"Opticians, Dispensing",Optician,Y
29-2081.00,"Opticians, Dispensing",Optometric Assistant,N
29-2081.00,"Opticians, Dispensing",Optometric Technician,N
29-2091.00,Orthotists and Prosthetists,American Board Certified Orthotist (ABC Orthotist),N
29-2091.00,Orthotists and Prosthetists,Certified Orthotist (CO),N
29-2091.00,Orthotists and Prosthetists,Certified Prosthetist (CP),Y
29-2091.00,Orthotists and Prosthetists,Certified Prosthetist/Orthotist (CPO),Y
29-2091.00,Orthotists and Prosthetists,Licensed Prosthetist/Orthotist (LPO),N
29-2091.00,Orthotists and Prosthetists,Orthotic/Prosthetic Practitioner,N
29-2091.00,Orthotists and Prosthetists,Orthotist,Y
29-2091.00,Orthotists and Prosthetists,Orthotist/Prosthetist,Y
29-2091.00,Orthotists and Prosthetists,Pedorthist,N
29-2091.00,Orthotists and Prosthetists,Prosthetist,N
29-2092.00,Hearing Aid Specialists,Audioprosthologist,Y
29-2092.00,Hearing Aid Specialists,Board Certified Hearing Instrument Dispenser,N
29-2092.00,Hearing Aid Specialists,Board Certified Hearing Instrument Specialist,N
29-2092.00,Hearing Aid Specialists,Certified Hearing Instrument Dispenser,N
29-2092.00,Hearing Aid Specialists,Hearing Aid Consultant,Y
29-2092.00,Hearing Aid Specialists,Hearing Aid Specialist,Y
29-2092.00,Hearing Aid Specialists,Hearing Care Practitioner,N
29-2092.00,Hearing Aid Specialists,Hearing Instrument Specialist,Y
29-2092.00,Hearing Aid Specialists,Hearing Specialist,N
29-2092.00,Hearing Aid Specialists,"Senior Hearing Specialist, Audio Prosthologist",N
29-2099.01,Neurodiagnostic Technologists,Certified Neurodiagnostic Technologist,Y
29-2099.01,Neurodiagnostic Technologists,"Clinical Supervisor, Epilepsy Monitoring Unit",N
29-2099.01,Neurodiagnostic Technologists,Electroneurodiagnostic Technologist,Y
29-2099.01,Neurodiagnostic Technologists,Electroneurodiagnostic Technologist Coordinator,N
29-2099.01,Neurodiagnostic Technologists,Lead Neurodiagnostic Technologist,Y
29-2099.01,Neurodiagnostic Technologists,"Manager, Neurodiagnostic Laboratory & Epilepsy Center (Manager, Neurodiagnostic Lab & Epilepsy Center)",N
29-2099.01,Neurodiagnostic Technologists,Neurodiagnostic Technologist,Y
29-2099.01,Neurodiagnostic Technologists,Registered Electroneurodiagnostic Technologist,N
29-2099.01,Neurodiagnostic Technologists,Registered Polysomnographic Technologist,N
29-2099.01,Neurodiagnostic Technologists,Senior Technologist,N
29-2099.05,Ophthalmic Medical Technologists,Certified Diagnostic Ophthalmic Sonographer and Registered Ophthalmic Ultrasound Biometrist (CDOS and ROUB),N
29-2099.05,Ophthalmic Medical Technologists,Certified Ophthalmic Assistant,Y
29-2099.05,Ophthalmic Medical Technologists,Certified Ophthalmic Medical Technologist (COMT),Y
29-2099.05,Ophthalmic Medical Technologists,Certified Ophthalmic Surgical Assistant,N
29-2099.05,Ophthalmic Medical Technologists,Clinical Supervisor,N
29-2099.05,Ophthalmic Medical Technologists,Ophthalmic Medical Assistant,N
29-2099.05,Ophthalmic Medical Technologists,Ophthalmic Medical Technologist,Y
29-2099.05,Ophthalmic Medical Technologists,Ophthalmic Technologist (Ophthalmic Tech),Y
29-2099.05,Ophthalmic Medical Technologists,Ophthalmology Surgical Technician,N
29-2099.05,Ophthalmic Medical Technologists,Surgical Coordinator,N
29-2099.06,Radiologic Technicians,Bone Density Technologist,N
29-2099.06,Radiologic Technicians,"Chief Technician, X-Ray (Chief Tech, X-Ray)",N
29-2099.06,Radiologic Technicians,Lead Mammographer,N
29-2099.06,Radiologic Technicians,Limited Radiology Technician,N
29-2099.06,Radiologic Technicians,Mammographer,N
29-2099.06,Radiologic Technicians,Radiographer,Y
29-2099.06,Radiologic Technicians,Radiologic Technician (RT),Y
29-2099.06,Radiologic Technicians,Radiology Technician (Radiology Tech),Y
29-2099.06,Radiologic Technicians,Registered Radiographer,N
29-2099.06,Radiologic Technicians,X-Ray Technician (X-Ray Tech),Y
29-2099.07,Surgical Assistants,Certified First Assistant (CFA),N
29-2099.07,Surgical Assistants,Certified Registered Nurse First Assistant (CRNFA),N
29-2099.07,Surgical Assistants,Certified Surgical Assistant (CSA),N
29-2099.07,Surgical Assistants,Certified Surgical First Assistant (CSFA),Y
29-2099.07,Surgical Assistants,Certified Surgical Technician,N
29-2099.07,Surgical Assistants,Gastrointestinal Technician (GI Technician),N
29-2099.07,Surgical Assistants,Registered Nurse First Assistant (RNFA),Y
29-2099.07,Surgical Assistants,Surgical First Assistant,Y
29-2099.07,Surgical Assistants,Surgical Scrub Technician (Surgical Scrub Tech),N
29-2099.07,Surgical Assistants,Surgical Technician (Surgical Tech),Y
29-9011.00,Occupational Health and Safety Specialists,Certified Industrial Hygienist,Y
29-9011.00,Occupational Health and Safety Specialists,Chief Safety Officer,Y
29-9011.00,Occupational Health and Safety Specialists,Corporate Safety Director,N
29-9011.00,Occupational Health and Safety Specialists,Director Employee Safety and Health,N
29-9011.00,Occupational Health and Safety Specialists,Environmental Health and Safety Manager,N
29-9011.00,Occupational Health and Safety Specialists,"Environmental, Health, and Safety EHS Officer",N
29-9011.00,Occupational Health and Safety Specialists,Health and Safety Manager,Y
29-9011.00,Occupational Health and Safety Specialists,Risk Control Consultant,N
29-9011.00,Occupational Health and Safety Specialists,Safety Consultant,N
29-9011.00,Occupational Health and Safety Specialists,Safety Specialist,Y
29-9012.00,Occupational Health and Safety Technicians,Construction Safety Consultant,Y
29-9012.00,Occupational Health and Safety Technicians,Consultant,N
29-9012.00,Occupational Health and Safety Technicians,Director of Safety,Y
29-9012.00,Occupational Health and Safety Technicians,"Environmental, Health, and Safety EHS Leader",Y
29-9012.00,Occupational Health and Safety Technicians,Health and Safety Tech,Y
29-9012.00,Occupational Health and Safety Technicians,Plant Safety Leader,N
29-9012.00,Occupational Health and Safety Technicians,"Project Manager, Senior",N
29-9012.00,Occupational Health and Safety Technicians,"Safety Professional, Industrial Hygiene Consultant",N
29-9012.00,Occupational Health and Safety Technicians,Safety Specialist,N
29-9012.00,Occupational Health and Safety Technicians,"Senior Environmental, Health and Safety Professional",N
29-9091.00,Athletic Trainers,Assistant Athletic Trainer,Y
29-9091.00,Athletic Trainers,Athletic Instructor,N
29-9091.00,Athletic Trainers,Athletic Trainer,Y
29-9091.00,Athletic Trainers,Certified Athletic Trainer,Y
29-9091.00,Athletic Trainers,Clinical Instructor,N
29-9091.00,Athletic Trainers,Graduate Assistant Athletic Trainer,N
29-9091.00,Athletic Trainers,Head Athletic Trainer,Y
29-9091.00,Athletic Trainers,Head Athletic Trainer/Strength Coach,N
29-9091.00,Athletic Trainers,Resident Athletic Trainer,N
29-9091.00,Athletic Trainers,Sports Medicine Coordinator,N
29-9092.00,Genetic Counselors,Certified Genetic Counselor,N
29-9092.00,Genetic Counselors,"Clinical Coordinator, Pediatric Genetics",N
29-9092.00,Genetic Counselors,Coordinator of Genetic Services,N
29-9092.00,Genetic Counselors,Genetic Counselor,Y
29-9092.00,Genetic Counselors,Hereditary Cancer Program Coordinator,N
29-9092.00,Genetic Counselors,Medical Science Liaison,N
29-9092.00,Genetic Counselors,Prenatal and Pediatric Genetic Counselor,Y
29-9092.00,Genetic Counselors,Reproductive Genetic Counseling Coordinator,Y
29-9092.00,Genetic Counselors,Senior Genetic Counselor,Y
29-9092.00,Genetic Counselors,Staff Genetic Counselor,N
29-9099.01,Midwives,Certified Professional Midwife,Y
29-9099.01,Midwives,"Certified Professional Midwife, Licensed Midwife",N
29-9099.01,Midwives,Director of Midwifery/Staff Midwife,N
29-9099.01,Midwives,Lay Midwife,N
29-9099.01,Midwives,Licensed Direct Entry Midwife,N
29-9099.01,Midwives,Licensed Midwife,Y
29-9099.01,Midwives,"Licensed Midwife, Certified Professional Midwife",Y
29-9099.01,Midwives,Midwife,Y
29-9099.01,Midwives,Midwife and Birth Center Owner,N
29-9099.01,Midwives,Staff Midwife,N
31-1011.00,Home Health Aides,Caregiver,N
31-1011.00,Home Health Aides,Certified Home Health Aide (CHHA),Y
31-1011.00,Home Health Aides,Certified Medical Aide (CMA),N
31-1011.00,Home Health Aides,Certified Nurses Aide (CNA),Y
31-1011.00,Home Health Aides,Home Attendant,N
31-1011.00,Home Health Aides,Home Care Aide,Y
31-1011.00,Home Health Aides,Home Health Aide (HHA),Y
31-1011.00,Home Health Aides,Home Health Provider,N
31-1011.00,Home Health Aides,Hospice/Home Health Aide,N
31-1011.00,Home Health Aides,In Home Caregiver,N
31-1013.00,Psychiatric Aides,Mental Health Aide (MHA),N
31-1013.00,Psychiatric Aides,Mental Health Technician (MHT),Y
31-1013.00,Psychiatric Aides,Mental Health Worker (MHW),Y
31-1013.00,Psychiatric Aides,Patient Care Assistant (PCA),N
31-1013.00,Psychiatric Aides,Psychiatric Aide,Y
31-1013.00,Psychiatric Aides,Psychiatric Nursing Aide,N
31-1013.00,Psychiatric Aides,Psychiatric Nursing Assistant,N
31-1013.00,Psychiatric Aides,Resident Care Technician,N
31-1013.00,Psychiatric Aides,Residential Counselor,Y
31-1013.00,Psychiatric Aides,Therapeutic Program Worker (TPW),N
31-1014.00,Nursing Assistants,Certified Medication Aide (CMA),Y
31-1014.00,Nursing Assistants,Certified Nurse Aide (CNA),N
31-1014.00,Nursing Assistants,Certified Nurses Aide (CNA),Y
31-1014.00,Nursing Assistants,Certified Nursing Assistant (CNA),Y
31-1014.00,Nursing Assistants,Geriatric Nursing Assistant (GNA),N
31-1014.00,Nursing Assistants,Licensed Nursing Assistant (LNA),N
31-1014.00,Nursing Assistants,Nurses' Aide,N
31-1014.00,Nursing Assistants,Nursing Aide,N
31-1014.00,Nursing Assistants,Nursing Assistant,Y
31-1014.00,Nursing Assistants,State Tested Nursing Assistant (STNA),N
31-1015.00,Orderlies,Attendant,Y
31-1015.00,Orderlies,Patient Care Assistant (PCA),Y
31-1015.00,Orderlies,Patient Care Technician (PCT),Y
31-1015.00,Orderlies,Resident Assistant,Y
31-2011.00,Occupational Therapy Assistants,Acute Care Occupational Therapy Assistant,N
31-2011.00,Occupational Therapy Assistants,Certified Occupational Therapist Assistant (COTA),Y
31-2011.00,Occupational Therapy Assistants,Certified Occupational Therapist Assistant/Licensed (COTA/L),N
31-2011.00,Occupational Therapy Assistants,Certified Occupational Therapy Assistant (COTA),Y
31-2011.00,Occupational Therapy Assistants,Certified Occupational Therapy Assistant-Licensed (COTA-L),Y
31-2011.00,Occupational Therapy Assistants,Licensed Occupational Therapy Assistant,N
31-2011.00,Occupational Therapy Assistants,Occupational Therapist Assistant,N
31-2011.00,Occupational Therapy Assistants,Occupational Therapy Assistant (OTA),Y
31-2011.00,Occupational Therapy Assistants,School Based Certified Occupational Therapy Assistant,N
31-2011.00,Occupational Therapy Assistants,Staff Certified Occupational Therapist Assistant/Licensed (Staff COTA/L),N
31-2012.00,Occupational Therapy Aides,Certified Occupational Rehabilitation Aide (CORA),N
31-2012.00,Occupational Therapy Aides,Direct Service Professional,N
31-2012.00,Occupational Therapy Aides,Direct Support Staff,N
31-2012.00,Occupational Therapy Aides,Occupational Therapy Aide (OT Aide),Y
31-2012.00,Occupational Therapy Aides,Occupational Therapy Technician (OT Tech),Y
31-2012.00,Occupational Therapy Aides,Rehabilitation Aide (Rehab Aide),Y
31-2012.00,Occupational Therapy Aides,Rehabilitation Services Aide,N
31-2012.00,Occupational Therapy Aides,Rehabilitation Technician (Rehab Tech),Y
31-2012.00,Occupational Therapy Aides,Restorative Aide,N
31-2012.00,Occupational Therapy Aides,Restorative Coordinator,N
31-2021.00,Physical Therapist Assistants,Certified Physical Therapist Assistant (CPTA),N
31-2021.00,Physical Therapist Assistants,Home Health Physical Therapist Assistant,N
31-2021.00,Physical Therapist Assistants,Licensed Physical Therapist Assistant (LPTA),Y
31-2021.00,Physical Therapist Assistants,Outpatient Physical Therapist Assistant,N
31-2021.00,Physical Therapist Assistants,Per Diem Physical Therapist Assistant (Per Diem PTA),N
31-2021.00,Physical Therapist Assistants,Physical Therapist Assistant (PTA),Y
31-2021.00,Physical Therapist Assistants,Physical Therapist Assistant and Nurse Aide,N
31-2021.00,Physical Therapist Assistants,Physical Therapy Assistant (PTA),Y
31-2021.00,Physical Therapist Assistants,Physical Therapy Technician (Physical Therapy Tech),Y
31-2021.00,Physical Therapist Assistants,Staff Physical Therapy Assistant,N
31-2022.00,Physical Therapist Aides,Clinical Rehabilitation Aide,N
31-2022.00,Physical Therapist Aides,Physical Therapist Aide (PTA),Y
31-2022.00,Physical Therapist Aides,Physical Therapist Technician (Physical Therapy Tech),N
31-2022.00,Physical Therapist Aides,Physical Therapy Aide (PTA),Y
31-2022.00,Physical Therapist Aides,Physical Therapy Attendant,N
31-2022.00,Physical Therapist Aides,Physical Therapy Technician,Y
31-2022.00,Physical Therapist Aides,Rehabilitation Aide,Y
31-2022.00,Physical Therapist Aides,Rehabilitation Attendant,N
31-2022.00,Physical Therapist Aides,Restorative Aide (RA),N
31-2022.00,Physical Therapist Aides,Restorative Care Technician,N
31-9011.00,Massage Therapists,Bodywork Therapist,N
31-9011.00,Massage Therapists,Certified Massage Therapist (CMT),Y
31-9011.00,Massage Therapists,Clinical Massage Therapist,N
31-9011.00,Massage Therapists,Integrated Deep Tissue Massage Therapist,N
31-9011.00,Massage Therapists,Licensed Massage Practitioner (LMP),Y
31-9011.00,Massage Therapists,Licensed Massage Therapist,Y
31-9011.00,Massage Therapists,Massage Therapist,Y
31-9011.00,Massage Therapists,Medical Massage Therapist,N
31-9011.00,Massage Therapists,Registered Massage Therapist,N
31-9011.00,Massage Therapists,Therapeutic Massage Technician,N
31-9091.00,Dental Assistants,Certified Dental Assistant (CDA),Y
31-9091.00,Dental Assistants,Certified Registered Dental Assistant,N
31-9091.00,Dental Assistants,Dental Assistant (DA),Y
31-9091.00,Dental Assistants,Expanded Duty Dental Assistant (EDDA),Y
31-9091.00,Dental Assistants,Expanded Function Dental Assistant,N
31-9091.00,Dental Assistants,Oral Surgery Assistant,N
31-9091.00,Dental Assistants,Orthodontic Assistant (Ortho Assistant),N
31-9091.00,Dental Assistants,Orthodontic Technician,N
31-9091.00,Dental Assistants,Registered Dental Assistant (RDA),Y
31-9091.00,Dental Assistants,Surgical Dental Assistant,N
31-9092.00,Medical Assistants,Certified Medical Assistant (CMA),Y
31-9092.00,Medical Assistants,Chiropractor Assistant,Y
31-9092.00,Medical Assistants,Clinical Assistant,Y
31-9092.00,Medical Assistants,Doctor's Assistant,N
31-9092.00,Medical Assistants,Medical Assistant (MA),Y
31-9092.00,Medical Assistants,Medical Office Assistant,N
31-9092.00,Medical Assistants,Ophthalmic Technician,N
31-9092.00,Medical Assistants,Optometric Assistant,N
31-9092.00,Medical Assistants,Optometric Technician,N
31-9092.00,Medical Assistants,Registered Medical Assistant (RMA),N
31-9093.00,Medical Equipment Preparers,Central Processing Technician (CPT),N
31-9093.00,Medical Equipment Preparers,Central Service Technician (CST),Y
31-9093.00,Medical Equipment Preparers,Central Sterile Supply Technician (CSS Technician),Y
31-9093.00,Medical Equipment Preparers,Certified Registered Central Service Technician (CRCST),Y
31-9093.00,Medical Equipment Preparers,Instrument Technician,N
31-9093.00,Medical Equipment Preparers,Sterile Preparation Technician,N
31-9093.00,Medical Equipment Preparers,Sterile Processing and Distribution Technician (SPD Technician),N
31-9093.00,Medical Equipment Preparers,Sterile Processing Technician,Y
31-9093.00,Medical Equipment Preparers,Sterile Technician,N
31-9093.00,Medical Equipment Preparers,Sterilization Technician,N
31-9094.00,Medical Transcriptionists,Clinical Medical Transcriptionist,N
31-9094.00,Medical Transcriptionists,Documentation Specialist,N
31-9094.00,Medical Transcriptionists,Medical Language Specialist,N
31-9094.00,Medical Transcriptionists,Medical Secretary,Y
31-9094.00,Medical Transcriptionists,Medical Transcriber,N
31-9094.00,Medical Transcriptionists,Medical Transcription,N
31-9094.00,Medical Transcriptionists,Medical Transcription Supervisor,N
31-9094.00,Medical Transcriptionists,Medical Transcriptionist,Y
31-9094.00,Medical Transcriptionists,Radiology Transcriptionist,Y
31-9094.00,Medical Transcriptionists,Transcriptionist,Y
31-9095.00,Pharmacy Aides,Ancillary,N
31-9095.00,Pharmacy Aides,Certified Pharmacist Assistant,Y
31-9095.00,Pharmacy Aides,Drug Purchaser,N
31-9095.00,Pharmacy Aides,Front Counter Clerk,N
31-9095.00,Pharmacy Aides,Pharmacist Assistant,N
31-9095.00,Pharmacy Aides,Pharmacy Aide,Y
31-9095.00,Pharmacy Aides,Pharmacy Ancillary,N
31-9095.00,Pharmacy Aides,Pharmacy Assistant,Y
31-9095.00,Pharmacy Aides,Pharmacy Cashier,N
31-9095.00,Pharmacy Aides,Pharmacy Clerk,Y
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Animal Care Provider,N
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Animal Caregiver,Y
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Avian Keeper,N
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Emergency Veterinary Assistant,N
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Research Animal Attendant,N
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Small Animal Caretaker,N
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Technician Assistant,Y
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinarian Assistant,Y
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistant (Vet Assistant),Y
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Technician Assistant (Vet Tech Assistant),N
31-9097.00,Phlebotomists,Lab Asst,N
31-9097.00,Phlebotomists,Patient Service Technician PST,N
31-9097.00,Phlebotomists,Phlebotomist,Y
31-9097.00,Phlebotomists,Phlebotomist Supervisor/Instructor,N
31-9097.00,Phlebotomists,"Phlebotomist, Medical Lab Assistant",Y
31-9097.00,Phlebotomists,Phlebotomy Director,N
31-9097.00,Phlebotomists,Phlebotomy Program Coordinator,Y
31-9097.00,Phlebotomists,Phlebotomy Supervisor,Y
31-9097.00,Phlebotomists,Registered Phlebotomist-Part Time,N
31-9099.01,Speech-Language Pathology Assistants,Assistant Speech-Language Pathologist,N
31-9099.01,Speech-Language Pathology Assistants,Communication Assistant,Y
31-9099.01,Speech-Language Pathology Assistants,Speech - Language Pathology Assistant (SLPA),Y
31-9099.01,Speech-Language Pathology Assistants,Speech and Language Assistant,N
31-9099.01,Speech-Language Pathology Assistants,Speech and Language Tutor,N
31-9099.01,Speech-Language Pathology Assistants,Speech Language Pathologist Assistant,Y
31-9099.01,Speech-Language Pathology Assistants,Speech Language Pathology Assistant,Y
31-9099.01,Speech-Language Pathology Assistants,Speech Pathologist Assistant,N
31-9099.01,Speech-Language Pathology Assistants,Speech Therapist Technician,N
31-9099.01,Speech-Language Pathology Assistants,Speech-Language Assistant,N
31-9099.02,Endoscopy Technicians,Endoscopy Technician,Y
33-1011.00,First-Line Supervisors of Correctional Officers,Captain,N
33-1011.00,First-Line Supervisors of Correctional Officers,Correctional Lieutenant,N
33-1011.00,First-Line Supervisors of Correctional Officers,Correctional Officer Captain,N
33-1011.00,First-Line Supervisors of Correctional Officers,Correctional Officer Lieutenant,N
33-1011.00,First-Line Supervisors of Correctional Officers,Correctional Officer Sergeant,N
33-1011.00,First-Line Supervisors of Correctional Officers,Correctional Sergeant,Y
33-1011.00,First-Line Supervisors of Correctional Officers,Corrections Sergeant,Y
33-1011.00,First-Line Supervisors of Correctional Officers,Lieutenant,Y
33-1011.00,First-Line Supervisors of Correctional Officers,Sergeant,Y
33-1011.00,First-Line Supervisors of Correctional Officers,Shift Supervisor,N
33-1012.00,First-Line Supervisors of Police and Detectives,Chief of Police,N
33-1012.00,First-Line Supervisors of Police and Detectives,Detective Sergeant,N
33-1012.00,First-Line Supervisors of Police and Detectives,Lieutenant,N
33-1012.00,First-Line Supervisors of Police and Detectives,Patrol Sergeant,N
33-1012.00,First-Line Supervisors of Police and Detectives,Police Captain,Y
33-1012.00,First-Line Supervisors of Police and Detectives,Police Chief,N
33-1012.00,First-Line Supervisors of Police and Detectives,Police Lieutenant,Y
33-1012.00,First-Line Supervisors of Police and Detectives,Police Sergeant,Y
33-1012.00,First-Line Supervisors of Police and Detectives,Police Shift Commander,N
33-1012.00,First-Line Supervisors of Police and Detectives,Sergeant,Y
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Battalion Fire Chief,N
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Battalion Chief,Y
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Captain,Y
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Chief,Y
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Lieutenant,Y
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Marshal,N
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Fire Suppression Captain,N
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Lieutenant Fire Fighter,N
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Shift Commander,N
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,Training Officer,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Assistant Unit Forester,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Crew Boss,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,District Fire Management Officer,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Engine Boss,Y
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Fire Captain,Y
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Fire Management Officer,Y
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Firefighter Type One (FFT1),N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Forest Fire Specialist Supervisor,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Section Forest Fire Warden,N
33-1021.02,Forest Fire Fighting and Prevention Supervisors,Squad Boss,Y
33-2011.01,Municipal Firefighters,Fire Captain,N
33-2011.01,Municipal Firefighters,Fire Chief,N
33-2011.01,Municipal Firefighters,Fire Engineer,N
33-2011.01,Municipal Firefighters,Fire Fighter,N
33-2011.01,Municipal Firefighters,Fire Fighter/EMT,N
33-2011.01,Municipal Firefighters,Firefighter,Y
33-2011.01,Municipal Firefighters,Firefighter/EMT (Firefighter/Emergency Medical Technician),Y
33-2011.01,Municipal Firefighters,Firefighter/Paramedic,Y
33-2011.01,Municipal Firefighters,Fireman,N
33-2011.02,Forest Firefighters,Engine Boss,Y
33-2011.02,Forest Firefighters,Fire Fighter,Y
33-2011.02,Forest Firefighters,Fire Technician,N
33-2011.02,Forest Firefighters,Firefighter,Y
33-2011.02,Forest Firefighters,Forest Fire Warden,Y
33-2011.02,Forest Firefighters,Forest Ranger,N
33-2011.02,Forest Firefighters,Forest Ranger Technician,N
33-2011.02,Forest Firefighters,Forestry Technician (Fire),N
33-2011.02,Forest Firefighters,Squad Boss,N
33-2011.02,Forest Firefighters,Wildland Firefighter,N
33-2021.01,Fire Inspectors,Deputy Fire Marshal,N
33-2021.01,Fire Inspectors,Fire Chief,N
33-2021.01,Fire Inspectors,Fire Inspector,Y
33-2021.01,Fire Inspectors,Fire Marshal,Y
33-2021.01,Fire Inspectors,Fire Official,N
33-2021.01,Fire Inspectors,Fire Prevention Inspector,Y
33-2021.01,Fire Inspectors,Fire Prevention Specialist,N
33-2021.01,Fire Inspectors,Fire Protection Specialist,N
33-2021.01,Fire Inspectors,Fire Safety Inspector,Y
33-2021.01,Fire Inspectors,State Fire Marshal,N
33-2021.02,Fire Investigators,Arson Investigator,Y
33-2021.02,Fire Investigators,Chief Arson Division,N
33-2021.02,Fire Investigators,Fire and Explosion Investigator,N
33-2021.02,Fire Investigators,Fire Captain,N
33-2021.02,Fire Investigators,Fire Chief,N
33-2021.02,Fire Investigators,Fire Investigator,Y
33-2021.02,Fire Investigators,Fire Lieutenant,N
33-2021.02,Fire Investigators,Fire Marshal,Y
33-2021.02,Fire Investigators,Investigator,N
33-2021.02,Fire Investigators,State Fire Marshal,Y
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Fire Apparatus Engineer,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Fire Lookout,Y
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Fire Operations Forester,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Lookout,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Officer,Y
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Patrolman,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Ranger,Y
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Technician,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forester,N
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Ranger,Y
33-3011.00,Bailiffs,Bailiff,Y
33-3011.00,Bailiffs,Court Bailiff,N
33-3011.00,Bailiffs,Court Officer,Y
33-3011.00,Bailiffs,Court Security Officer,Y
33-3011.00,Bailiffs,Deputy Bailiff,N
33-3011.00,Bailiffs,Deputy Sheriff,Y
33-3011.00,Bailiffs,Deputy Sheriff Court Services,N
33-3011.00,Bailiffs,Security Officer,N
33-3012.00,Correctional Officers and Jailers,Booking Officer,N
33-3012.00,Correctional Officers and Jailers,Correctional Officer,Y
33-3012.00,Correctional Officers and Jailers,Correctional Sergeant,N
33-3012.00,Correctional Officers and Jailers,Corrections Officer (CO),Y
33-3012.00,Correctional Officers and Jailers,Deputy Jailer,N
33-3012.00,Correctional Officers and Jailers,Detention Deputy,Y
33-3012.00,Correctional Officers and Jailers,Detention Officer,N
33-3012.00,Correctional Officers and Jailers,Jailer,Y
33-3012.00,Correctional Officers and Jailers,Jailor,N
33-3012.00,Correctional Officers and Jailers,Public Safety Officer,N
33-3021.01,Police Detectives,Detective,Y
33-3021.01,Police Detectives,Detective Sergeant,N
33-3021.01,Police Detectives,Detective Supervisor,N
33-3021.01,Police Detectives,Fugitive Detective,Y
33-3021.01,Police Detectives,Fugitive Investigator,N
33-3021.01,Police Detectives,Investigator,Y
33-3021.01,Police Detectives,Narcotics Detective,N
33-3021.01,Police Detectives,Narcotics Investigator,N
33-3021.01,Police Detectives,Police Detective,Y
33-3021.01,Police Detectives,Sex Crimes Detective,N
33-3021.02,Police Identification and Records Officers,Crime Scene Evidence Technician,N
33-3021.02,Police Identification and Records Officers,Crime Scene Investigator,Y
33-3021.02,Police Identification and Records Officers,Crime Scene Technician,Y
33-3021.02,Police Identification and Records Officers,Criminalist,Y
33-3021.02,Police Identification and Records Officers,Field Identification Specialist,N
33-3021.02,Police Identification and Records Officers,Forensic Specialist,Y
33-3021.02,Police Identification and Records Officers,Identification Officer,N
33-3021.02,Police Identification and Records Officers,Identification Technician,N
33-3021.02,Police Identification and Records Officers,Latent Fingerprint Examiner,N
33-3021.02,Police Identification and Records Officers,Latent Print Examiner,N
33-3021.03,Criminal Investigators and Special Agents,Agent,N
33-3021.03,Criminal Investigators and Special Agents,Criminal Investigator,Y
33-3021.03,Criminal Investigators and Special Agents,Detective,Y
33-3021.03,Criminal Investigators and Special Agents,Detective Sergeant,N
33-3021.03,Criminal Investigators and Special Agents,FBI Special Agent (Federal Bureau of Investigation Special Agent),N
33-3021.03,Criminal Investigators and Special Agents,Investigator,Y
33-3021.03,Criminal Investigators and Special Agents,Master Police Detective,N
33-3021.03,Criminal Investigators and Special Agents,Narcotics Detective,N
33-3021.03,Criminal Investigators and Special Agents,Police Detective,N
33-3021.03,Criminal Investigators and Special Agents,Special Agent,Y
